REGIAO/UF;1976/77;1977/78 ;1978/79;1979/80;1980/81;1981/82;1982/83;1983/84;1984/85;1985/86;1986/87;1987/88;1988/89;1989/90;1990/91;1991/92;1992/93;1993/94;1994/95;1995/96;1996/97;1997/98;1998/99;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11    ;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
NORTE;0;0;0;0;0;0;0;0;0;0.4;0.6;32.3;74.6;42;6.3;12.1;20;28.7;21.4;6.7;25.2;47.4;50.4;59.7;91.7;141.1;209.7;352.4;521.9;507.5;410.6;517.5;497.6;574.9;645.5;717.6;901.5;1178.9;1441.2;1576.3;1809;1931.7;1988.3;2090.5
RR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1.8;0;0;0;0;0;3.5;3;12;20;10;5.5;15;8;1.4;3.7;3.7;12;18;23.8;24;30;38.2;40;49
RO;0;0;0;0;0;0;0;0;0;0.4;0.6;4.3;15.6;7.8;2.4;0.1;4.5;0;4.8;0;3.3;4.7;8.7;11.8;25;28.6;41;59.5;74.4;106.4;90.4;99.8;106;122.3;132.3;143.5;167.7;191.1;231.5;252.6;296;333.6;333.7;348.4
AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;1.5;4
AM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1;2.1;2.1;2.8;1.9;0;0;0;0;0;0;0;0;0;0;0;1.5;2.2;2.3
AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.9;20.2;20.9;20.9
PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6;1.6;2.3;0.7;2.9;15.5;35.2;69;79.7;47;71.1;72.2;86.9;104.8;119.2;172.2;221.4;336.3;428.9;500.1;549.6;561.4;591.7
TO;0;0;0;0;0;0;0;0;0;0;0;28;59;34.2;3.9;12;15.5;22.7;16.6;4.9;21.9;40.1;40.1;45.6;66;105;148.1;243.6;355.7;309.5;267.7;331.6;311.4;364.3;404.7;451.2;549.6;748.4;849.6;870.8;964;988.1;1028.6;1074.2
NORDESTE;0;0;0;1.9;2.4;1.2;5;28;73;117.7;180.6;246.7;410.1;385.4;282.6;351.1;422.7;503.6;575.9;532.3;593.9;728.9;772.8;851;962.6;1125.1;1240.7;1323.3;1442.1;1487.1;1454.9;1580.1;1608;1861.7;1945.7;2117.1;2414.3;2602.2;2845.3;2878.2;3095.8;3263.5;3332.2;3336.5
MA;0;0;0;0;0;0;0;0;10;8.7;8.5;16.2;21.9;16;4.6;21.1;42.7;62.8;91.7;89.1;120;144;162.7;175.7;210;238.3;274;342.5;375;382.5;384.4;421.5;387.4;502.1;518.2;559.7;586;662.2;749.6;786.3;821.7;951.5;992.4;976.4
PI;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0.4;0;0;0;6.8;13.6;10.2;17.9;28.6;29.9;40;62;86.8;116.3;159.3;197.1;232;219.7;253.6;273.1;343.1;383.6;444.6;546.4;627.3;673.7;565;693.8;710.5;758.1;758.9
CE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
RN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
PB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
PE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
AL;0;0;0;0;0;0;0;0;0;2;2.1;2.3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2;1.6;1.2
SE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
BA;0;0;0;1.9;2.4;1.2;5;28;63;107;170;228;385;366;278;330;380;434;470.6;433;456;556.3;580.2;635.3;690.6;800;850.4;821.5;870;872.6;850.8;905;947.5;1016.5;1043.9;1112.8;1281.9;1312.7;1422;1526.9;1580.3;1599.3;1580.1;1600
CENTRO-OESTE;378;597;720;1117;1249;1364;1647;2141.9;2837;2813.3;2867.8;3379.1;4054.5;3706;2946.2;3283.5;3808.6;4244.3;4559.8;3694.7;3983.8;5060.2;4955.1;5394.7;5759.5;6970.5;8048.4;9659.3;10857;10742.6;9105.1;9634.8;9900.1;10539.2;10819.4;11495.2;12778.2;13909.4;14616.1;14925.1;15193.6;15648.8;16102.8;16574.4
MT;310;6;19;70;128;195;317;467;795;909.5;1100;1375;1708.2;1503;1100;1452;1713.4;1996;2295.4;1905.2;2095.7;2600;2548;2800;3120;3853.2;4419.6;5240.5;6105.2;6196.8;5124.8;5675;5828.2;6224.5;6398.8;6980.5;7818.2;8615.7;8934.5;9140;9322.8;9518.6;9699.5;10004.1
MS;0;494;573;792;812;832;940;1073.9;1307;1234;1184;1231;1300;1209;1013.1;969.5;1066.5;1109;1097.9;845.4;862.3;1086.5;1053.9;1106.6;1064.5;1192.2;1415.1;1797.2;2030.8;1949.6;1737.1;1731.4;1715.8;1712.2;1760.1;1815;2017;2120;2300.5;2430;2522.3;2672;2853.7;2950.7
GO;68;97;128;247;294;320;370;571;690;621;540;730.4;990;940.5;790;820;984;1090;1122.7;909.4;991.2;1338.1;1324.7;1454.5;1540;1887.4;2170.5;2572;2662;2542.2;2191.4;2179.7;2307.2;2549.5;2605.6;2644.7;2888;3101.7;3325;3285.1;3278.5;3386.7;3476.4;3545.1
DF;0;0;0;8;15;17;20;30;45;48.8;43.8;42.7;56.3;53.5;43.1;42;44.7;49.3;43.8;34.7;34.6;35.6;28.5;33.6;35;37.7;43.2;49.6;59;54;51.8;48.7;48.9;53;54.9;55;55;72;56.1;70;70;71.5;73.2;74.5
SUDESTE;530;671;651;710;733;744;728;790;925;906;876.7;1010.5;1189;1165;972;919;1084.3;1175.1;1163.6;1091.6;1097.6;1131.1;1097.6;1152.9;1172;1286.1;1488.9;1826.9;1891.6;1717.5;1468.8;1396;1460.4;1591.2;1636.9;1606.2;1758.2;1989.9;2116.2;2326.9;2351.4;2470.1;2571.1;2757.1
MG;85;112;103;150;190;228;258;310;431;430;415;498;595;583;472;456;551.8;600;600;528;522.7;601.1;577.1;594.4;642;719;873.6;1065.8;1119.1;1060.9;930.4;870;929.1;1019;1024.1;1024;1121.2;1238.2;1319.4;1469.3;1456.1;1508.5;1574.9;1647.3
ES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
RJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
SP;445;559;548;560;543;516;470;480;494;476;461.7;512.5;594;582;500;463;532.5;575.1;563.6;563.6;574.9;530;520.5;558.5;530;567.1;615.3;761.1;772.5;656.6;538.4;526;531.3;572.2;612.8;582.2;637;751.7;796.8;857.6;895.3;961.6;996.2;1109.8
SUL;6041;6512;6780;6927;6709;6284;6032;6203;6239;5807;5296;6038;6524.6;6253;5535.4;5016.5;5381.4;5550;5358;5337.9;5680.8;6190.3;6119.3;6049.5;5984;6806.2;7487.1;8213.9;8588.5;8294.7;8247.4;8184.7;8277;8900.9;9133.5;9106.1;9883.9;10492.7;11074.1;11545.4;11459.6;11835.1;11879.6;12085.1
PR;2200;2349;2350;2420;2350;2197;2050;2200;2170;2140;1776;2149;2406.9;2286;1966;1797.5;2000;2110;2120.6;2311.5;2496.4;2820;2769.2;2835.6;2818;3283;3637.6;3935.9;4148.4;3982.5;3978.5;3977.3;4069.2;4485.1;4590.5;4460.6;4752.8;5010.4;5224.8;5451.3;5249.6;5464.8;5437.5;5502.7
SC;351;409;480;520;510;484;415;436;432;406;360;413;433.7;390;300;249;281.4;278;222.4;222.4;240.2;220;215.6;204.8;196;241.3;255.8;307;350;344.8;376.9;373.4;385.3;439.6;458.2;448.3;512.5;542.7;600.1;639.1;640.4;678.2;664.6;680.6
RS;3490;3754;3950;3987;3849;3603;3567;3567;3637;3261;3160;3476;3684;3577;3269.4;2970;3100;3162;3015;2804;2944.2;3150.3;3134.5;3009.1;2970;3281.9;3593.7;3971;4090.1;3967.4;3892;3834;3822.5;3976.2;4084.8;4197.2;4618.6;4939.6;5249.2;5455;5569.6;5692.1;5777.5;5901.8
NORTE/NORDESTE;0;0;0;1.9;2.4;1.2;5;28;73;118.1;181.2;279;484.7;427.4;288.9;363.2;442.7;532.3;597.3;539;619.1;776.3;823.2;910.7;1054.3;1266.2;1450.4;1675.7;1964;1994.6;1865.5;2097.6;2105.6;2436.6;2591.2;2834.7;3315.8;3781.1;4286.5;4454.5;4904.8;5195.2;5320.5;5427
CENTRO-SUL;6949;7780;8151;8754;8691;8392;8407;9134.9;10001;9526.3;9040.5;10427.6;11768.1;11124;9453.6;9219;10274.3;10969.4;11081.4;10124.2;10762.2;12381.6;12172;12597.1;12915.5;15062.8;17024.4;19700.1;21337.1;20754.8;18821.3;19215.5;19637.5;21031.3;21589.8;22207.5;24420.3;26392;27806.4;28797.4;29004.6;29954;30553.5;31416.6
BRASIL;6949;7780;8151;8755.9;8693.4;8393.2;8412;9162.9;10074;9644.4;9221.7;10706.6;12252.8;11551.4;9742.5;9582.2;10717;11501.7;11678.7;10663.2;11381.3;13157.9;12995.2;13507.8;13969.8;16329;18474.8;21375.8;23301.1;22749.4;20686.8;21313.1;21743.1;23467.9;24181;25042.2;27736.1;30173.1;32092.9;33251.9;33909.4;35149.2;35874;36843.6
