REGIAO/UF;1976/77;1977/78 ;1978/79;1979/80;1980/81;1981/82;1982/83;1983/84;1984/85;1985/86;1986/87;1987/88;1988/89;1989/90;1990/91;1991/92;1992/93;1993/94;1994/95;1995/96;1996/97;1997/98;1998/99;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11    ;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
NORTE;0;0;0;0;0;0;0;0;0;0.5;1.1;54.7;135.6;53.2;11.5;19.4;36.4;59;45.5;14.2;28.6;99.8;123.2;150.7;216.6;369;557.5;913.7;1419.9;1255.2;1079.9;1472.4;1414;1691.7;1977.2;2172.2;2661.5;3391.3;4289.5;3818.9;5536.4;5903.9;5924.8;6612.3
RR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.8;0;4.9;0;0;0;0;0;8.4;7.2;28.8;56;28;15.4;48.8;22.4;3.9;10.4;10.4;33.6;56.2;63.9;79.2;90;117.5;108;149.2
RO;0;0;0;0;0;0;0;0;0;0.5;1.1;7.7;31.2;15.6;5;0.2;10.8;0;13;0;8.9;14.1;26.1;35.4;76.5;89.2;123;177.9;227.2;283;277.5;311.6;326.5;384.3;425.3;462.2;539.3;607.7;732.9;765;930.3;1094.9;1109.2;1172.4
AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;4.4;11.8
AM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;5.4;5.4;8.4;5.7;0;0;0;0;0;0;0;0;0;0;0;3.4;5.3;5.3
AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54.4;58.3;57.5;59.3
PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;3.3;4.9;1.5;7.3;44.2;95;207;238.1;140.5;201.1;208.7;232.5;314.4;316.7;552.2;668.6;1017;1288;1635.3;1530.6;1708.9;1811.2
TO;0;0;0;0;0;0;0;0;0;0;0;47;104.4;37.6;6.5;19.2;25.6;42.2;32.5;9.3;19.7;80.2;93.8;110.4;138.6;262.5;377.7;606.6;921.3;700.4;646.5;910.9;856.4;1071;1227.1;1382.9;1536.4;2058.8;2475.7;1686.7;2826.4;3097.7;2931.5;3403.1
NORDESTE;0;0;0;2.2;3.8;0.4;4.5;36.4;84.6;155.5;156.3;374.9;638.7;267.8;564.3;520.3;682.1;1018.4;1267.8;921.9;1300.1;1561.1;1609.8;2064;2075.9;2096;2519.3;3538.9;3953.1;3560.9;3867.2;4829.8;4161.9;5309.5;6251.5;6096.3;5294.8;6620.9;8084.1;5107.1;9644.7;11850.7;10553.4;11425.2
MA;0;0;0;0;0;0;0;0;9;13.6;8.8;29.2;37.2;6.7;8.3;25.3;91.2;138.2;169.6;199.6;252;302.4;390.5;439.3;483;540.9;654.9;924.1;997.5;1025.1;1084;1262.8;975.1;1330.6;1599.7;1650.6;1685.9;1823.7;2069.6;1250.2;2473.3;2973.4;2917.7;3095.2
