REGIAO/UF;1976/77;1977/78 ;1978/79;1979/80;1980/81;1981/82;1982/83;1983/84;1984/85;1985/86;1986/87;1987/88;1988/89;1989/90;1990/91;1991/92;1992/93;1993/94;1994/95;1995/96;1996/97;1997/98;1998/99;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11    ;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
NORTE;0;0;0;0;0;0;0;0;0;1250;1833.33;1693.5;1817.69;1266.67;1825;1603;1820;2056;2126;2119;1135;2105;2444;2524;2362;2615;2659;2593;2721;2473;2630.18;2845;2841;2943;3063;3027;2952.39;2876.69;2976.37;2422.7;3060.53;3056.02;2980;3163
RR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2800;0;2700;0;0;0;0;0;2400;2400;2400;2800;2800;2800;3250;2800;2800;2800;2800;2800;3120;2685;3300;3000;3077;2700;3044
RO;0;0;0;0;0;0;0;0;0;1250;1833.33;1790.7;2000;2000;2100;2400;2400;0;2700;0;2700;3000;3000;3000;3060;3120;3000;2990;3054;2660;3070;3122;3080;3142;3215;3221;3216;3180;3166;3028.4;3143;3282;3324;3365
AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2938;2940;2939
AM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1454;2571;2571;3000;3000;0;0;0;0;0;0;0;0;0;0;0;2250;2400;2300
AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2878;2884;2751;2837
PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2115;2038;2120;2100;2520;2850;2700;3000;2987;2990;2828;2890;2675;3000;2657;3207;3020;3024;3003;3270;2785;3044;3061
TO;0;0;0;0;0;0;0;0;0;0;0;1678.57;1769.49;1099.42;1675;1600;1650;1860;1957;1900;900;2000;2340;2420;2100;2500;2550;2490;2590;2263;2415;2747;2750;2940;3032;3065;2795.5;2751;2914;1937;2932;3135;2850;3168
NORDESTE;0;0;0;1157.89;1583.33;333.33;900;1300;1158.9;1321.16;865.45;1519.66;1557.43;694.86;1997;1482;1614;2022;2201;1732;2189;2142;2083;2425;2157;1863;2031;2674;2741;2395;2658.01;3057;2588;2852;3213;2880;2193.09;2544.35;2841.22;1774.4;3115.43;3631.31;3167;3424
MA;0;0;0;0;0;0;0;0;900;1563.22;1035.29;1802.47;1698.63;418.75;1800;1201;2135;2200;1850;2240;2100;2100;2400;2500;2300;2270;2390;2698;2660;2680;2820;2996;2517;2650;3087;2949;2877;2754;2761;1590;3010;3125;2940;3170
PI;0;0;0;0;0;0;0;0;0;0;0;1000;1000;1000;0;0;0;1800;1850;2250;2000;1995;2300;2500;2300;1050;2650;2490;2813;2347;2212;3231;2815;2531;2983;2841;1678;2374;2722;1143;2952;3573;3063;3129
CE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
RN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
PB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
PE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
AL;0;0;0;0;0;0;0;0;0;1400;1428.57;1521.74;1500;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2500;2792;2792
SE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
BA;0;0;0;1157.89;1583.33;333.33;900;1300;1200;1300;850;1500;1550.13;700;2000;1500;1555;2000;2280;1615;2220;2160;1983;2400;2100;1830;1830;2700;2760;2282;2700;3036;2552;3060;3360;2860;2100;2520;2940;2103;3242;3960;3360;3720
CENTRO-OESTE;1428.57;968.17;1527.78;1656.58;1678.94;1786.95;1904.68;1787.57;1964.29;1787.05;2026.57;1994.5;2134.02;1706.85;2263;2227;2228;2334;2212;2394;2620;2547;2695;2770;2952;2926;2924;2548;2669;2590;2909.88;3022;2943;2997;3137;3036;2980.97;3005.2;3008.23;2931.48;3300.72;3447.26;3269;3539
